Date,M,Day,Humidity(Day),Humidity(Night),Temperature(Day),Temperature(Night),Carbon(Day),Carbon(Night),Year,Month
1/1/2024,JAN,1,82,53,30.2,14.4,347,354,2024,1
1/2/2024,JAN,2,82,60,30,14.2,336,376,2024,1
1/3/2024,JAN,3,82,60,30.2,14.5,348,402,2024,1
1/4/2024,JAN,4,82,72,30.2,14.4,384,423,2024,1
1/5/2024,JAN,5,82,60,29.6,14.8,398,450,2024,1
1/6/2024,JAN,6,91,66,29.5,14.2,450,604,2024,1
1/7/2024,JAN,7,81,59,29.7,14.2,460,512,2024,1
1/8/2024,JAN,8,81,63,28.5,13.8,487,550,2024,1
1/9/2024,JAN,9,85,59,28.5,13,490,570,2024,1
1/10/2024,JAN,10,80,55,28.7,12.4,455,575,2024,1
1/11/2024,JAN,11,80,59,27.6,12.1,490,548,2024,1
1/12/2024,JAN,12,81,51,29.2,12.5,487,580,2024,1
1/13/2024,JAN,13,80,59,29.3,12.2,485,530,2024,1
1/14/2024,JAN,14,81,60,29.5,13.2,348,450,2024,1
1/15/2024,JAN,15,81,57,31,13.6,340,420,2024,1
1/16/2024,JAN,16,82,61,32.2,15,460,601,2024,1
1/17/2024,JAN,17,73,54,30.5,15.7,360,400,2024,1
1/18/2024,JAN,18,82,60,30.3,14.7,420,440,2024,1
1/19/2024,JAN,19,82,61,30,15.6,450,530,2024,1
1/20/2024,JAN,20,82,60,29,14.5,410,450,2024,1
1/21/2024,JAN,21,76,60,29.4,14.3,345,430,2024,1
1/22/2024,JAN,22,72,53,29.5,15.3,365,440,2024,1
1/23/2024,JAN,23,81,60,29.5,14.1,357,452,2024,1
1/24/2024,JAN,24,77,53,29.5,13.6,423,460,2024,1
1/25/2024,JAN,25,65,73,25.6,19.5,430,541,2024,1
1/26/2024,JAN,26,82,54,29.7,16.8,459,612,2024,1
1/27/2024,JAN,27,82,61,28.7,15.6,420,605,2024,1
1/28/2024,JAN,28,82,61,29.7,15.7,450,590,2024,1
1/29/2024,JAN,29,82,61,30,15.5,430,550,2024,1
1/30/2024,JAN,30,82,54,30.6,14.6,435,545,2024,1
1/31/2024,JAN,31,82,61,30.5,15.6,459,601,2024,1
2/1/2024,FEB,1,65,54,30.7,16.6,347,450,2024,2
2/2/2024,FEB,2,65,56,32,15.8,430,579,2024,2
2/3/2024,FEB,3,65,54,31.5,16.6,349,420,2024,2
2/4/2024,FEB,4,73,54,30.7,15.2,450,550,2024,2
2/5/2024,FEB,5,73,54,31,14.5,475,600,2024,2
2/6/2024,FEB,6,65,56,33.5,16.2,390,430,2024,2
2/7/2024,FEB,7,58,57,33.2,18.8,455,575,2024,2
2/8/2024,FEB,8,73,57,32.3,17.6,490,548,2024,2
2/9/2024,FEB,9,73,44,31.8,16.2,487,580,2024,2
2/10/2024,FEB,10,73,53,32,14.6,430,541,2024,2
2/11/2024,FEB,11,65,57,33.4,14.9,459,612,2024,2
2/12/2024,FEB,12,73,57,33,16.4,420,605,2024,2
2/13/2024,FEB,13,65,42,32.6,16.5,390,430,2024,2
2/14/2024,FEB,14,57,45,33.2,15.3,455,575,2024,2
2/15/2024,FEB,15,65,41,33.7,16.1,490,548,2024,2
2/16/2024,FEB,16,58,42,35.2,17.1,423,548,2024,2
2/17/2024,FEB,17,65,46,33.2,18,430,560,2024,2
2/18/2024,FEB,18,50,45,35,15.9,450,600,2024,2
2/19/2024,FEB,19,57,41,34.5,16.7,450,604,2024,2
2/20/2024,FEB,20,51,46,34.4,17.4,460,512,2024,2
2/21/2024,FEB,21,52,43,36.2,19.2,487,550,2024,2
2/22/2024,FEB,22,47,43,36.8,20,490,570,2024,2
2/23/2024,FEB,23,48,39,37.3,21,450,512,2024,2
2/24/2024,FEB,24,66,49,33,19.3,467,580,2024,2
2/25/2024,FEB,25,59,47,34.9,18.4,349,467,2024,2
2/26/2024,FEB,26,59,47,34,19,375,480,2024,2
2/27/2024,FEB,27,60,43,36.3,18.6,453,590,2024,2
2/28/2024,FEB,28,60,46,36.2,19.2,420,602,2024,2
2/29/2024,FEB,29,60,45,35.6,19,410,550,2024,2
3/1/2024,MAR,1,73,38,36.2,18.2,398,498,2024,3
3/2/2024,MAR,2,59,38,37,17.6,390,430,2024,3
3/3/2024,MAR,3,31,44,36.8,18.5,455,575,2024,3
3/4/2024,MAR,4,41,55,37,18.8,490,548,2024,3
3/5/2024,MAR,5,48,38,37.2,19,375,440,2024,3
3/6/2024,MAR,6,46,29,37,18.2,390,450,2024,3
3/7/2024,MAR,7,39,33,37.5,15.3,450,604,2024,3
3/8/2024,MAR,8,44,38,37,17,460,512,2024,3
3/9/2024,MAR,9,40,28,36.8,17.4,487,550,2024,3
3/10/2024,MAR,10,29,34,37.5,17.5,490,570,2024,3
3/11/2024,MAR,11,47,35,38,17.8,347,354,2024,3
3/12/2024,MAR,12,39,51,38.5,22,336,376,2024,3
3/13/2024,MAR,13,37,34,36.5,21.3,348,402,2024,3
3/14/2024,MAR,14,33,34,37.7,20,384,423,2024,3
3/15/2024,MAR,15,44,41,37.6,21,356,402,2024,3
3/16/2024,MAR,16,44,26,37.3,21.6,459,612,2024,3
3/17/2024,MAR,17,48,35,37.8,19.5,420,605,2024,3
3/18/2024,MAR,18,42,32,39,20.8,450,590,2024,3
3/19/2024,MAR,19,49,35,39,21,430,550,2024,3
3/20/2024,MAR,20,54,42,38.5,22.4,479,601,2024,3
3/21/2024,MAR,21,46,46,37.2,23,398,450,2024,3
3/22/2024,MAR,22,73,45,31.7,18.2,450,604,2024,3
3/23/2024,MAR,23,54,39,35,19.3,460,512,2024,3
3/24/2024,MAR,24,51,34,35.8,22,487,550,2024,3
3/25/2024,MAR,25,51,35,38.2,21,490,570,2024,3
3/26/2024,MAR,26,48,37,38.5,21.2,450,590,2024,3
3/27/2024,MAR,27,45,36,37.5,23.5,475,600,2024,3
3/28/2024,MAR,28,51,32,38.8,23.8,410,550,2024,3
3/29/2024,MAR,29,53,42,38.8,25.3,398,498,2024,3
3/30/2024,MAR,30,38,34,40,26.7,390,430,2024,3
3/31/2024,MAR,31,41,47,40.5,25,479,550,2024,3
4/1/2024,APR,1,46,35,41,23,467,580,2024,4
4/2/2024,APR,2,44,32,41,27.3,349,467,2024,4
4/3/2024,APR,3,41,35,41.5,26.5,375,480,2024,4
4/4/2024,APR,4,45,33,42.5,25.8,453,590,2024,4
4/5/2024,APR,5,45,32,42.8,26,400,475,2024,4
4/6/2024,APR,6,52,31,43.2,29.8,459,612,2024,4
4/7/2024,APR,7,46,32,43.8,31,420,605,2024,4
4/8/2024,APR,8,50,32,41.5,25.8,450,590,2024,4
4/9/2024,APR,9,44,34,42.2,25.5,440,530,2024,4
4/10/2024,APR,10,39,39,41,25,464,563,2024,4
4/11/2024,APR,11,40,34,40.5,28.5,450,545,2024,4
4/12/2024,APR,12,44,35,40.8,25.5,467,580,2024,4
4/13/2024,APR,13,53,38,40,27,349,467,2024,4
4/14/2024,APR,14,47,35,40.5,24.6,375,480,2024,4
4/15/2024,APR,15,44,36,41.3,25,453,590,2024,4
4/16/2024,APR,16,56,39,41.4,29.2,379,570,2024,4
4/17/2024,APR,17,56,35,42,30.5,450,550,2024,4
4/18/2024,APR,18,54,43,39.7,27.2,479,612,2024,4
4/19/2024,APR,19,51,27,41.3,29,454,545,2024,4
4/20/2024,APR,20,45,27,42.3,29.5,410,550,2024,4
4/21/2024,APR,21,41,33,42,29,398,498,2024,4
4/22/2024,APR,22,50,33,42.7,29.8,390,430,2024,4
4/23/2024,APR,23,44,29,43.3,28,398,450,2024,4
4/24/2024,APR,24,48,42,42.5,29.8,450,604,2024,4
4/25/2024,APR,25,52,25,42.7,30,460,512,2024,4
4/26/2024,APR,26,46,25,43.3,30.7,487,550,2024,4
4/27/2024,APR,27,42,28,43.5,27.8,490,570,2024,4
4/28/2024,APR,28,43,25,44.8,28.5,467,580,2024,4
4/29/2024,APR,29,47,31,44.5,32.4,349,467,2024,4
4/30/2024,APR,30,43,28,44,30,375,480,2024,4
5/1/2024,MAY,1,48,32,42.8,31.7,453,590,2024,5
5/2/2024,MAY,2,79,63,38.3,29.8,390,459,2024,5
5/3/2024,MAY,3,70,51,35.9,23,450,598,2024,5
5/4/2024,MAY,4,71,49,39,26.8,465,534,2024,5
5/5/2024,MAY,5,50,47,37,26.3,459,612,2024,5
5/6/2024,MAY,6,47,41,37.8,25.5,420,605,2024,5
5/7/2024,MAY,7,53,43,35,26,450,590,2024,5
5/8/2024,MAY,8,54,38,39,24.4,435,545,2024,5
5/9/2024,MAY,9,44,46,40,28.3,420,540,2024,5
5/10/2024,MAY,10,54,46,39.9,26.2,460,520,2024,5
5/11/2024,MAY,11,65,42,39,25.2,398,450,2024,5
5/12/2024,MAY,12,51,43,40.3,27.1,450,604,2024,5
5/13/2024,MAY,13,48,40,42,27.8,460,512,2024,5
5/14/2024,MAY,14,44,38,43.7,30.2,487,550,2024,5
5/15/2024,MAY,15,43,38,43.8,30.4,490,570,2024,5
5/16/2024,MAY,16,44,33,44.5,31.2,467,570,2024,5
5/17/2024,MAY,17,43,44,44,32.5,540,600,2024,5
5/18/2024,MAY,18,52,68,42,29.5,460,567,2024,5
5/19/2024,MAY,19,61,48,40.2,26.5,450,545,2024,5
5/20/2024,MAY,20,55,59,41,27.8,490,569,2024,5
5/21/2024,MAY,21,77,55,33.7,23.2,421,480,2024,5
5/22/2024,MAY,22,61,48,40.3,27.3,460,520,2024,5
5/23/2024,MAY,23,52,51,40.2,29,398,450,2024,5
5/24/2024,MAY,24,61,79,40.3,28.3,450,604,2024,5
5/25/2024,MAY,25,85,51,36.8,26.3,410,550,2024,5
5/26/2024,MAY,26,85,66,35.5,27.5,398,498,2024,5
5/27/2024,MAY,27,71,79,32.4,26.4,390,430,2024,5
5/28/2024,MAY,28,72,64,36,27.2,412,500,2024,5
5/29/2024,MAY,29,62,62,36.8,28.6,415,520,2024,5
5/30/2024,MAY,30,61,53,39.8,28.2,467,580,2024,5
5/31/2024,MAY,31,65,79,34.2,29.6,349,467,2024,5
6/1/2024,JUN,1,66,93,39,27.6,375,480,2024,6
6/2/2024,JUN,2,92,66,33.4,26,453,590,2024,6
6/3/2024,JUN,3,71,62,34.5,26.2,430,550,2024,6
6/4/2024,JUN,4,66,56,37,27,450,569,2024,6
6/5/2024,JUN,5,66,56,39.2,27.6,496,612,2024,6
6/6/2024,JUN,6,79,100,37.2,28.5,490,575,2024,6
6/7/2024,JUN,7,79,62,34.8,25.2,460,520,2024,6
6/8/2024,JUN,8,79,62,35.7,26.3,398,450,2024,6
6/9/2024,JUN,9,66,53,38,27.3,450,604,2024,6
6/10/2024,JUN,10,66,53,38.8,29.5,435,590,2024,6
6/11/2024,JUN,11,71,72,36.7,28.5,398,450,2024,6
6/12/2024,JUN,12,71,66,34.3,26.8,450,604,2024,6
6/13/2024,JUN,13,74,65,34.2,27.2,460,512,2024,6
6/14/2024,JUN,14,79,84,34.7,26.4,487,550,2024,6
6/15/2024,JUN,15,85,79,32.5,26.5,490,570,2024,6
6/16/2024,JUN,16,71,62,36,26.7,450,567,2024,6
6/17/2024,JUN,17,68,56,36.5,27.8,435,550,2024,6
6/18/2024,JUN,18,71,52,37,27.4,420,512,2024,6
6/19/2024,JUN,19,61,52,36.5,27.5,450,601,2024,6
6/20/2024,JUN,20,68,53,36.8,27.4,460,520,2024,6
6/21/2024,JUN,21,71,56,35.2,27.2,398,450,2024,6
6/22/2024,JUN,22,56,44,40.2,28.5,450,604,2024,6
6/23/2024,JUN,23,62,56,39.3,29.8,410,550,2024,6
6/24/2024,JUN,24,71,48,37.2,28.8,410,532,2024,6
6/25/2024,JUN,25,65,80,37.5,29.1,390,475,2024,6
6/26/2024,JUN,26,85,79,33.6,26.5,420,540,2024,6
6/27/2024,JUN,27,71,56,37,26.7,467,580,2024,6
6/28/2024,JUN,28,66,54,36.7,27.2,349,467,2024,6
6/29/2024,JUN,29,71,56,37.5,28.4,375,480,2024,6
6/30/2024,JUN,30,61,59,37.2,28.4,453,590,2024,6
7/1/2024,JUL,1,65,55,36.5,28,389,579,2024,7
7/2/2024,JUL,2,71,71,35.5,25.8,439,567,2024,7
7/3/2024,JUL,3,65,66,37,27.1,410,520,2024,7
7/4/2024,JUL,4,66,51,35.8,26.8,459,612,2024,7
7/5/2024,JUL,5,66,49,38,27.4,420,605,2024,7
7/6/2024,JUL,6,65,44,39,28.2,450,590,2024,7
7/7/2024,JUL,7,89,58,38,27,420,540,2024,7
7/8/2024,JUL,8,79,53,37,28.3,390,420,2024,7
7/9/2024,JUL,9,66,51,38.3,28.2,450,550,2024,7
7/10/2024,JUL,10,61,66,36,27.5,423,600,2024,7
7/11/2024,JUL,11,84,71,31.8,26.2,390,475,2024,7
7/12/2024,JUL,12,71,52,36.5,26.7,420,540,2024,7
7/13/2024,JUL,13,61,48,38.5,27,467,580,2024,7
7/14/2024,JUL,14,65,52,38.6,27.9,420,600,2024,7
7/15/2024,JUL,15,71,56,36,28.4,450,575,2024,7
7/16/2024,JUL,16,71,53,38.8,26.8,439,549,2024,7
7/17/2024,JUL,17,61,66,39.3,28.3,435,567,2024,7
7/18/2024,JUL,18,66,53,37.5,28.7,410,550,2024,7
7/19/2024,JUL,19,93,54,37.2,26,398,498,2024,7
7/20/2024,JUL,20,66,56,36,27.7,390,430,2024,7
7/21/2024,JUL,21,65,54,35.2,27.4,412,500,2024,7
7/22/2024,JUL,22,71,61,34.3,26.8,421,520,2024,7
7/23/2024,JUL,23,65,56,36,26.6,400,550,2024,7
7/24/2024,JUL,24,64,56,38.2,27.3,434,600,2024,7
7/25/2024,JUL,25,65,56,37.5,27.8,398,450,2024,7
7/26/2024,JUL,26,65,61,37,28.2,450,604,2024,7
7/27/2024,JUL,27,61,56,38.3,28,460,512,2024,7
7/28/2024,JUL,28,65,50,37.8,27.8,487,550,2024,7
7/29/2024,JUL,29,65,65,34.8,27.5,490,570,2024,7
7/30/2024,JUL,30,70,64,34,27.6,469,590,2024,7
7/31/2024,JUL,31,77,79,30.2,27.3,431,578,2024,7
